The Toll of the Sea,6.6,Drama/Family/Fantasy
The Trap,6.0,Drama
Trapped by the Mormons,5.8,Drama/Crime
Das Weib des Pharao,6.6,Drama/History
When Knighthood Was in Flower,6.3,Romance/Drama
The Young Rajah,6.3,Romance/Drama
Das alte Gesetz,6.8,Drama
Cameo Kirby,5.2,Drama
Coeur fidèle,7.5,Drama/Romance
The Covered Wagon,6.6,Adventure/Romance/Western
The Extra Girl,6.6,Comedy/Romance
Gunnar Hedes saga,6.9,Drama
Gösta Berlings saga,7.1,Drama/Romance
Haldane of the Secret Service,5.5,Adventure/Crime/Drama
The Hunchback of Notre Dame,7.2,Drama/Horror/Romance
Little Old New York,6.2,Comedy/Romance
Our Hospitality,7.8,Comedy/Romance/Thriller
The Pilgrim,7.4,Comedy
Raskolnikow,6.8,Drama
Rosita,6.5,Romance/Comedy
La roue,7.5,Drama
Safety Last!,8.1,Action/Comedy/Thriller
Scaramouche,7.0,Drama/Romance
Der Schatz,6.7,Drama/Romance
The Shock,6.5,Drama
Souls for Sale,7.0,Comedy/Drama/Romance
Die Straße,7.0,Drama
Sylvester,6.2,Drama
The Ten Commandments,6.8,Biography/Drama/Fantasy
Three Ages,7.1,Comedy
Das Wachsfigurenkabinett,6.6,Fantasy/Horror
The White Rose,6.4,Drama/Romance
The White Sister,6.8,Drama/Romance
White Tiger,6.2,Crime/Drama/Mystery
Why Worry?,7.4,Adventure/Comedy/Family
A Woman of Paris: A Drama of Fate,7.0,Drama/Romance
Zaza,6.2,Romance/Drama
Aelita,6.6,Adventure/Comedy/Drama
America,6.4,Drama/History/War
Beau Brummel,6.7,Drama/History/Romance
Black Oxen,5.9,Drama/Romance/Sci-Fi
Captain January,6.9,Drama
The Chechahcos,6.5,Adventure/Drama
Dante's Inferno,5.7,Drama/Horror/Romance
Dorothy Vernon of Haddon Hall,6.9,Drama/History/Romance
The Enchanted Cottage,6.5,Drama
The Family Secret,6.3,Drama
La fille de l'eau,6.8,Drama/Romance
Die Finanzen des Großherzogs,6.4,Comedy
Forbidden Paradise,6.1,Comedy
Girl Shy,7.7,Comedy/Romance
He Who Gets Slapped,7.8,Drama/Romance/Thriller
Her Night of Romance,6.8,Comedy/Romance
Hot Water,7.2,Comedy
L'inhumaine,7.2,Adventure/Drama/Mystery
The Iron Horse,7.2,History/Romance/Western
Isn't Life Wonderful,6.9,Drama/Romance
Janice Meredith,5.7,Drama/History/Romance
Kean,6.7,Drama
Der letzte Mann,8.1,Drama
Manhandled,6.5,Drama/Comedy
The Marriage Circle,7.2,Comedy
Michael,7.1,Drama/Romance
Monsieur Beaucaire,5.7,Drama/Romance
The Navigator,7.7,Action/Comedy/Romance
Neobychainye priklyucheniya mistera Vesta v strane bolshevikov,6.6,Comedy
Die Nibelungen: Kriemhilds Rache,7.9,Adventure/Drama/Fantasy
Die Nibelungen: Siegfried,8.1,Adventure/Drama/Fantasy
Open All Night,4.7,Comedy
Orlacs Hände,7.1,Crime/Horror/Mystery
Papirosnitsa ot Mosselproma,6.8,Comedy/Romance
Paris qui dort,7.2,Sci-Fi
Peter Pan,7.1,Adventure/Fantasy/Family
The Red Lily,7.1,Drama
Romola,6.3,Drama/History
The Sea Hawk,7.0,Adventure/Drama/Romance
Secrets,5.5,Drama
Sherlock Jr.,8.2,Action/Comedy/Romance
Stachka,7.6,Drama
The Thief of Bagdad,7.7,Adventure/Family/Fantasy
The White Shadow,6.3,Drama
Wild Oranges,6.8,Drama/Romance
Wine of Youth,5.9,Comedy/Drama
Yolanda,5.8,Romance
Die Abenteuer des Prinzen Achmed,7.8,Animation/Adventure/Family
The Big Parade,7.9,Drama/Romance/War
Body and Soul,6.2,Drama
Braveheart,7.0,Western
Bronenosets Potemkin,8.0,Drama/History/Thriller
The Circle,6.3,Drama
Clash of the Wolves,6.6,Adventure/Romance/Western
Cobra,6.4,Drama/Romance
Don Q Son of Zorro,7.0,Adventure/Romance
Du skal ære din hustru,7.1,Drama
The Eagle,6.6,Action/Comedy/Drama
Le fantôme du Moulin-Rouge,6.3,Drama/Fantasy
Feu Mathias Pascal,7.1,Drama
The Freshman,7.5,Comedy/Family/Romance
Die freudlose Gasse,7.2,Drama
Furusato no uta,5.8,Drama
Glomdalsbruden,6.6,Drama/Romance
Go West,7.2,Comedy/Western
The Gold Rush,8.2,Adventure/Comedy/Drama
The Goose Woman,6.9,Drama
Greed,8.1,Drama/Thriller/Western
Gribiche,6.9,Drama
Her Sister from Paris,6.5,Comedy
El húsar de la muerte,6.6,Biography/Drama/History
Lady Windermere's Fan,7.3,Comedy
Lady of the Night,6.6,Drama/Romance
The Lady,5.0,Drama
Lazybones,7.2,Action/Comedy/Drama
Lights of Old Broadway,6.0,Drama/Romance
Little Annie Rooney,6.7,Drama/Comedy
The Little Colonel,7.1,Comedy/Family/Musical
The Lost World,7.0,Adventure/Fantasy/Thriller
The Merry Widow,7.3,Drama/Romance
The Monster,6.2,Comedy/Horror/Mystery
The Mystic,6.4,Drama
Orochi,7.1,Action/Adventure
Parisian Love,6.2,Crime/Drama/Romance
Paths to Paradise,6.7,Comedy/Crime/Romance
The Phantom of the Opera,7.6,Horror
